query,city,lat,lng,radius

witch store,Austin,30.2672,-97.7431,50000
fantasy gift shop,Austin,30.2672,-97.7431,50000
tabletop gaming store,Austin,30.2672,-97.48232735174525,25000
tabletop gaming store,Austin,30.462250766618116,-97.61271367587263,25000
tabletop gaming store,Austin,30.462250766618116,-97.87348632412737,25000
tabletop gaming store,Austin,30.072149233381882,-97.61271367587263,25000
tabletop gaming store,Austin,30.20365564840081,-98.10513801022574,13000
tabletop gaming store,Austin,30.164383079319443,-97.96519272186488,13000
tabletop gaming store,Austin,30.424631135333627,-97.92864621933083,6000
Soap store,Seattle,47.6062,-122.3321,50000
Soap store,Los Angeles,34.0522,-117.971862128549,25000
Soap store,Los Angeles,34.247250766618116,-118.1077810642745,25000
Soap store,San Francisco,37.7749,-122.13445750644331,25000
Soap store,San Francisco,37.96995076661812,-122.27692875322165,25000
Soap store,San Francisco,37.96995076661812,-122.56187124677834,25000
Soap store,San Francisco,37.7749,-122.70434249355668,25000
Soap store,San Francisco,37.579849233381886,-122.27692875322165,25000
Soap store,New York,40.81561692068056,-73.66479110160493,13000
Soap store,New York,40.90785076661812,-73.71438747605534,13000
Soap store,New York,41.01066768729868,-73.81322903287186,13000
Soap store,New York,40.9713951182173,-73.97315803130195,13000
Soap store,New York,41.01066768729868,-74.11036439111068,13000
Soap store,New York,40.844306415018934,-74.27029338954077,13000
Soap store,New York,40.81561692068056,-74.2590618180826,13000
Soap store,New York,40.776344351599185,-74.41852138437238,13000
Soap store,New York,40.64925564840082,-74.41852138437238,13000
Soap store,New York,40.58129358498107,-74.26961733866759,13000
Soap store,New York,40.414932312701325,-74.11062261956612,13000
Soap store,New York,40.517749233381885,-73.71522312089084,13000
Soap store,Los Angeles,34.247250766618116,-118.2488351018981,13000
Soap store,Los Angeles,34.350067687298676,-118.33920450848332,13000
Soap store,Los Angeles,34.3107951182173,-118.48542527988138,13000
Soap store,Los Angeles,34.18370641501893,-118.48542527988138,13000
Soap store,Los Angeles,34.144433845937556,-118.33920450848332,13000
Soap store,Los Angeles,34.15501692068056,-118.47521666089433,13000
Soap store,Los Angeles,34.11574435159918,-118.62110017115592,13000
Soap store,Los Angeles,33.94938307931944,-118.47521666089433,13000
Soap store,Los Angeles,33.85714923338188,-118.24943551937663,13000
Soap store,Los Angeles,33.95996615406244,-118.33939004768791,13000
Soap store,Los Angeles,33.920693584981066,-118.48493953193753,13000
Soap store,Los Angeles,33.7936048817827,-118.48493953193753,13000
Soap store,Los Angeles,33.75433231270132,-118.33939004768791,13000
Soap store,Los Angeles,33.85714923338188,-117.97759764792563,13000
Soap store,Los Angeles,33.95996615406244,-118.06755217623692,13000
Soap store,Los Angeles,33.7936048817827,-118.21310166048653,13000
Soap store,Los Angeles,33.75433231270132,-118.06755217623692,13000
