sorted,query,city,name,address,website,email,flagged
true,tabletop game store,Chicago,Mt Gaming,"20605 Burl Ct, Joliet, IL 60433, United States",http://www.mtdgaming.com/,,
true,tabletop game store,Chicago,Critical Games,"6954 W 111th St, Worth, IL 60482, United States",http://facebook.com/criticalgames1002,,
true,tabletop game store,Chicago,Good Games Chicago,"1145 W Webster Ave, Chicago, IL 60614, United States",http://www.goodgamesna.com/,,
true,tabletop game store,Chicago,Giorgi's Game Spot,"160 N York St, Elmhurst, IL 60126, United States",https://www.facebook.com/Giorgis.Game.Spot,,
true,tabletop game store,Chicago,Games Plus,"101 W Prospect Ave, Mt Prospect, IL 60056, United States",https://games-plus.com/GPWP30/,,
true,tabletop game store,Chicago,Fair Game,"19 LaGrange Rd, La Grange, IL 60525, United States",http://www.fairgamestore.com/,,
true,tabletop game store,Chicago,Fair Game,"1015 Curtiss St, Downers Grove, IL 60515, United States",http://www.fairgamestore.com/,,
true,tabletop game store,Chicago,Treasures,"121 S Washington St, Naperville, IL 60540, United States",http://treasuresnaperville.com/,,
true,tabletop game store,Chicago,"The Gaming Goat - Tinley Park, IL","8010 171st St, Tinley Park, IL 60477, United States",https://www.facebook.com/TGGTinleyPark/,,
true,tabletop game store,Chicago,Critical Grind Board Game Cafe,"852 Sharp Dr # L, Shorewood, IL 60404, United States",http://www.criticalgrind.com/,,
true,tabletop game store,Chicago,Mind Benders puzzles & games,"1442 119th St, Whiting, IN 46394, United States",http://www.mindbenders.biz/,,
true,tabletop game store,Chicago,It's Good To Be King Inc,"129 W 1st St, Elmhurst, IL 60126, United States",https://goodtobeking.com/,,
true,tabletop game store,Chicago,Bonus Round Game Cafe,"3230 N Clark St, Chicago, IL 60657, United States",http://bonusroundcafe.com/,,
true,tabletop game store,Chicago,Gamers World,"835 Michigan Ave floor 4, Chicago, IL 60611, United States",https://www.facebook.com/GamersworldWT/,,
true,tabletop game store,Chicago,Nerd Rage Gaming,"1361 W Dundee Rd, Buffalo Grove, IL 60089, United States",http://www.nerdragegaming.com/,,
true,tabletop game store,Chicago,Maximum Distractions,"4405 N Milwaukee Ave, Chicago, IL 60630, United States",https://www.facebook.com/maximumdistractions/,,
true,tabletop game store,Chicago,Goblin Market Manga & Curiosities,"2868 N Lincoln Ave, Chicago, IL 60657, United States",https://goblinmkt.com/,,
